,t,T,s,i,o,c,h,l,v,n,close_log_return,close_log_return_lag_1,close_log_return_dir,close_log_return_lag_1_dir
0,2022-04-13,2022-04-13 23:59:59.999,BCH,1d,304.73,340.9,349.63,301.03,0.0,0,,,-1,-1
1,2022-04-14,2022-04-14 23:59:59.999,BCH,1d,340.9,337.42,353.0,332.34,0.0,0,-0.010260733966028465,,-1,-1
2,2022-04-15,2022-04-15 23:59:59.999,BCH,1d,337.41,340.62,345.29,333.08,0.0,0,0.009439041232860964,-0.010260733966028465,1,-1
3,2022-04-16,2022-04-16 23:59:59.999,BCH,1d,340.63,342.58,347.61,338.43,0.0,0,0.005737720659148943,0.009439041232860964,1,1
4,2022-04-17,2022-04-17 23:59:59.999,BCH,1d,342.58,327.85,348.81,327.12,0.0,0,-0.043949020360210325,0.005737720659148943,-1,1
5,2022-04-18,2022-04-18 23:59:59.999,BCH,1d,327.8,340.24,340.95,312.59,0.0,0,0.03709506423574963,-0.043949020360210325,1,-1
6,2022-04-19,2022-04-19 23:59:59.999,BCH,1d,340.26,340.28,343.0,332.23,0.0,0,0.00011755716230538295,0.03709506423574963,1,1
7,2022-04-20,2022-04-20 23:59:59.999,BCH,1d,340.29,330.56,344.69,328.75,0.0,0,-0.02898062217640973,0.00011755716230538295,-1,1
8,2022-04-21,2022-04-21 23:59:59.999,BCH,1d,330.57,315.44,345.54,310.76,0.0,0,-0.046819696361902044,-0.02898062217640973,-1,-1
9,2022-04-22,2022-04-22 23:59:59.999,BCH,1d,315.43,320.77,334.62,313.8,0.0,0,0.01675586584059801,-0.046819696361902044,1,-1
10,2022-04-23,2022-04-23 23:59:59.999,BCH,1d,320.76,312.43,324.13,310.98,0.0,0,-0.026343911325260577,0.01675586584059801,-1,1
11,2022-04-24,2022-04-24 23:59:59.999,BCH,1d,312.43,307.39,314.96,306.84,0.0,0,-0.01626314441371414,-0.026343911325260577,-1,-1
12,2022-04-25,2022-04-25 23:59:59.999,BCH,1d,307.38,314.44,315.61,299.43,0.0,0,0.02267597925456075,-0.01626314441371414,1,-1
13,2022-04-26,2022-04-26 23:59:59.999,BCH,1d,314.43,295.85,321.8,291.0,0.0,0,-0.06094070980285253,0.02267597925456075,-1,1
14,2022-04-27,2022-04-27 23:59:59.999,BCH,1d,295.81,307.08,309.28,293.22,0.0,0,0.03725573083699457,-0.06094070980285253,1,-1
15,2022-04-28,2022-04-28 23:59:59.999,BCH,1d,307.07,306.28,312.48,303.04,0.0,0,-0.0026085837147751113,0.03725573083699457,-1,1
16,2022-04-29,2022-04-29 23:59:59.999,BCH,1d,306.29,294.65,308.92,290.35,0.0,0,-0.03871150496100028,-0.0026085837147751113,-1,-1
17,2022-04-30,2022-04-30 23:59:59.999,BCH,1d,294.59,277.36,298.24,267.09,0.0,0,-0.06047190990715422,-0.03871150496100028,-1,-1
18,2022-05-01,2022-05-01 23:59:59.999,BCH,1d,277.36,283.67,287.62,272.25,0.0,0,0.02249528934077139,-0.06047190990715422,1,-1
19,2022-05-02,2022-05-02 23:59:59.999,BCH,1d,283.66,284.86,289.81,279.33,0.0,0,0.004186240788900617,0.02249528934077139,1,1
20,2022-05-03,2022-05-03 23:59:59.999,BCH,1d,284.92,279.29,289.55,276.05,0.0,0,-0.019747162991482468,0.004186240788900617,-1,1
21,2022-05-04,2022-05-04 23:59:59.999,BCH,1d,279.28,299.64,300.16,278.07,0.0,0,0.0703310855647244,-0.019747162991482468,1,-1
22,2022-05-05,2022-05-05 23:59:59.999,BCH,1d,299.66,276.99,302.45,272.06,0.0,0,-0.07860034962703588,0.0703310855647244,-1,1
23,2022-05-06,2022-05-06 23:59:59.999,BCH,1d,277.0,274.85,277.66,265.25,0.0,0,-0.007755910145976861,-0.07860034962703588,-1,-1
24,2022-05-07,2022-05-07 23:59:59.999,BCH,1d,274.84,267.77,277.33,263.12,0.0,0,-0.026097091223174603,-0.007755910145976861,-1,-1
25,2022-05-08,2022-05-08 23:59:59.999,BCH,1d,267.77,261.62,269.68,259.7,0.0,0,-0.023235333823413827,-0.026097091223174603,-1,-1
26,2022-05-09,2022-05-09 23:59:59.999,BCH,1d,261.63,217.41,266.38,214.24,0.0,0,-0.18510809747078127,-0.023235333823413827,-1,-1
27,2022-05-10,2022-05-10 23:59:59.999,BCH,1d,217.31,231.49,244.27,210.28,0.0,0,0.0627517042597151,-0.18510809747078127,1,-1
28,2022-05-11,2022-05-11 23:59:59.999,BCH,1d,231.48,194.57,249.79,183.27,0.0,0,-0.17374468056573011,0.0627517042597151,-1,1
29,2022-05-12,2022-05-12 23:59:59.999,BCH,1d,194.56,194.2,227.13,156.48,0.0,0,-0.001903439626060186,-0.17374468056573011,-1,-1
30,2022-05-13,2022-05-13 23:59:59.999,BCH,1d,194.27,202.24,222.17,191.52,0.0,0,0.04056655510126826,-0.001903439626060186,1,-1
31,2022-05-14,2022-05-14 23:59:59.999,BCH,1d,202.18,208.66,236.9,186.3,0.0,0,0.03125102208133069,0.04056655510126826,1,1
32,2022-05-15,2022-05-15 23:59:59.999,BCH,1d,208.66,214.76,216.02,202.34,0.0,0,0.028814992514545314,0.03125102208133069,1,1
33,2022-05-16,2022-05-16 23:59:59.999,BCH,1d,214.75,197.45,214.89,195.86,0.0,0,-0.08403573782171028,0.028814992514545314,-1,1
34,2022-05-17,2022-05-17 23:59:59.999,BCH,1d,197.46,206.74,215.04,194.27,0.0,0,0.045976577407680436,-0.08403573782171028,1,-1
35,2022-05-18,2022-05-18 23:59:59.999,BCH,1d,206.77,186.89,209.08,185.95,0.0,0,-0.10094175665812757,0.045976577407680436,-1,1
36,2022-05-19,2022-05-19 23:59:59.999,BCH,1d,186.88,196.35,199.2,180.35,0.0,0,0.04937857254180745,-0.10094175665812757,1,-1
37,2022-05-20,2022-05-20 23:59:59.999,BCH,1d,196.38,189.88,200.65,185.87,0.0,0,-0.03350648734090128,0.04937857254180745,-1,1
38,2022-05-21,2022-05-21 23:59:59.999,BCH,1d,189.89,192.19,195.73,186.3,0.0,0,0.012092172363196053,-0.03350648734090128,1,-1
39,2022-05-22,2022-05-22 23:59:59.999,BCH,1d,192.19,197.89,202.28,190.05,0.0,0,0.029226854714498804,0.012092172363196053,1,1
40,2022-05-23,2022-05-23 23:59:59.999,BCH,1d,197.86,191.84,208.07,188.68,0.0,0,-0.031049629481608054,0.029226854714498804,-1,1
41,2022-05-24,2022-05-24 23:59:59.999,BCH,1d,191.87,195.51,197.32,183.02,0.0,0,0.01894983773319456,-0.031049629481608054,1,-1
42,2022-05-25,2022-05-25 23:59:59.999,BCH,1d,195.51,190.09,201.36,189.01,0.0,0,-0.028113884794336453,0.01894983773319456,-1,1
43,2022-05-26,2022-05-26 23:59:59.999,BCH,1d,190.15,179.22,192.69,171.87,0.0,0,-0.05888354276198877,-0.028113884794336453,-1,-1
44,2022-05-27,2022-05-27 23:59:59.999,BCH,1d,179.21,174.76,184.99,171.38,0.0,0,-0.025200497372838384,-0.05888354276198877,-1,-1
45,2022-05-28,2022-05-28 23:59:59.999,BCH,1d,174.74,178.55,180.64,172.75,0.0,0,0.021455069957222465,-0.025200497372838384,1,-1
46,2022-05-29,2022-05-29 23:59:59.999,BCH,1d,178.55,184.96,186.22,175.36,0.0,0,0.03527091144355519,0.021455069957222465,1,1
47,2022-05-30,2022-05-30 23:59:59.999,BCH,1d,184.99,196.81,199.46,184.37,0.0,0,0.06209921085133339,0.03527091144355519,1,1
48,2022-05-31,2022-05-31 23:59:59.999,BCH,1d,196.8,204.43,207.29,191.5,0.0,0,0.03798682226157059,0.06209921085133339,1,1
49,2022-06-01,2022-06-01 23:59:59.999,BCH,1d,204.43,185.84,210.83,183.8,0.0,0,-0.0953395301347628,0.03798682226157059,-1,1
50,2022-06-02,2022-06-02 23:59:59.999,BCH,1d,185.82,188.82,189.68,182.13,0.0,0,0.015908091842216688,-0.0953395301347628,1,-1
51,2022-06-03,2022-06-03 23:59:59.999,BCH,1d,188.83,182.92,191.56,180.15,0.0,0,-0.031745281514516076,0.015908091842216688,-1,1
52,2022-06-04,2022-06-04 23:59:59.999,BCH,1d,182.91,188.61,189.85,179.74,0.0,0,0.03063249227322516,-0.031745281514516076,1,-1
53,2022-06-05,2022-06-05 23:59:59.999,BCH,1d,188.6,179.81,190.29,178.0,0.0,0,-0.04778065321953319,0.03063249227322516,-1,1
54,2022-06-06,2022-06-06 23:59:59.999,BCH,1d,179.76,185.4,189.14,178.85,0.0,0,0.03061491528820851,-0.04778065321953319,1,-1
55,2022-06-07,2022-06-07 23:59:59.999,BCH,1d,185.4,181.83,188.06,173.0,0.0,0,-0.01944346850045133,0.03061491528820851,-1,1
56,2022-06-08,2022-06-08 23:59:59.999,BCH,1d,181.85,176.56,182.8,174.63,0.0,0,-0.029411422682822475,-0.01944346850045133,-1,-1
57,2022-06-09,2022-06-09 23:59:59.999,BCH,1d,176.57,175.45,180.73,172.01,0.0,0,-0.006306659919256904,-0.029411422682822475,-1,-1
58,2022-06-10,2022-06-10 23:59:59.999,BCH,1d,175.45,167.3,177.51,165.34,0.0,0,-0.047565494036445645,-0.006306659919256904,-1,-1
59,2022-06-11,2022-06-11 23:59:59.999,BCH,1d,167.31,156.61,169.7,154.44,0.0,0,-0.06602996951443574,-0.047565494036445645,-1,-1
60,2022-06-12,2022-06-12 23:59:59.999,BCH,1d,156.66,145.87,158.26,145.35,0.0,0,-0.07104282438022068,-0.06602996951443574,-1,-1
61,2022-06-13,2022-06-13 23:59:59.999,BCH,1d,145.84,126.84,148.88,123.88,0.0,0,-0.13978936442797535,-0.07104282438022068,-1,-1
62,2022-06-14,2022-06-14 23:59:59.999,BCH,1d,126.84,125.9,134.8,117.47,0.0,0,-0.0074385086198450676,-0.13978936442797535,-1,-1
63,2022-06-15,2022-06-15 23:59:59.999,BCH,1d,125.84,127.87,131.67,110.0,0.0,0,0.015526181772775505,-0.0074385086198450676,1,-1
64,2022-06-16,2022-06-16 23:59:59.999,BCH,1d,127.86,109.28,130.77,106.98,0.0,0,-0.15710072700059705,0.015526181772775505,-1,1
65,2022-06-17,2022-06-17 23:59:59.999,BCH,1d,109.27,121.33,121.95,106.61,0.0,0,0.10460071024130167,-0.15710072700059705,1,-1
66,2022-06-18,2022-06-18 23:59:59.999,BCH,1d,121.37,115.28,125.2,108.88,0.0,0,-0.051150154372514973,0.10460071024130167,-1,1
