t,T,s,i,o,c,h,l,v,n,close_delta,close_log_return,close_log_return_lag_1,close_log_return_dir_lag_1
2024-02-15,2024-02-21 23:59:59.999,TAO,1w,645.44,629.54,655.18,555.0,8029.029,7160,,,,-1
2024-02-22,2024-02-28 23:59:59.999,TAO,1w,632.18,609.53,670.0,474.64,65382.773,31527,-20.00999999999999,-0.032301225576994844,,-1
2024-02-29,2024-03-06 23:59:59.999,TAO,1w,611.15,716.31,756.93,601.3,41127.871,27815,106.77999999999997,0.16142486577126616,-0.032301225576994844,-1
2024-03-07,2024-03-13 23:59:59.999,TAO,1w,716.4,645.0,768.34,640.05,39401.087,32685,-71.30999999999995,-0.10486271735820481,0.16142486577126616,1
2024-03-14,2024-03-20 23:59:59.999,TAO,1w,646.88,687.0,766.09,550.0,36237.551,26883,42.0,0.06308397542657687,-0.10486271735820481,-1
2024-03-21,2024-03-27 23:59:59.999,TAO,1w,686.59,536.05,723.0,528.95,17385.145,19771,-150.95000000000005,-0.24810685192010062,0.06308397542657687,1
2024-03-28,2024-04-03 23:59:59.999,TAO,1w,536.04,558.86,602.97,472.31,24638.691,23691,22.81000000000006,0.041671554258515056,-0.24810685192010062,-1
2024-04-04,2024-04-10 23:59:59.999,TAO,1w,559.65,573.81,651.58,519.95,23365.234,24825,14.949999999999932,0.026399336509788564,0.041671554258515056,1
2024-04-11,2024-04-17 23:59:59.999,TAO,1w,573.51,454.68,786.61,372.17,56993.814,45704,-119.12999999999994,-0.23270445625204247,0.026399336509788564,1
2024-04-18,2024-04-24 23:59:59.999,TAO,1w,453.98,451.49,531.63,426.12,21930.69,24438,-3.1899999999999977,-0.007040650600990302,-0.23270445625204247,-1
2024-04-25,2024-05-01 23:59:59.999,TAO,1w,451.2,381.71,472.66,340.61,23594.806,23985,-69.78000000000003,-0.1678920662242359,-0.007040650600990302,-1
2024-05-02,2024-05-08 23:59:59.999,TAO,1w,381.34,392.24,488.11,366.47,21558.387,24209,10.53000000000003,0.027212739349694384,-0.1678920662242359,-1
2024-05-09,2024-05-15 23:59:59.999,TAO,1w,392.0,389.88,408.19,334.26,38827.622,31802,-2.3600000000000136,-0.006034897873968603,0.027212739349694384,1
2024-05-16,2024-05-22 23:59:59.999,TAO,1w,390.16,447.11,476.57,358.96,43878.09,34469,57.23000000000002,0.13696564988179546,-0.006034897873968603,-1
2024-05-23,2024-05-29 23:59:59.999,TAO,1w,447.95,395.88,490.77,394.41,22547.592,24912,-51.23000000000002,-0.1216935143223144,0.13696564988179546,1
2024-05-30,2024-06-05 23:59:59.999,TAO,1w,395.19,419.91,425.47,374.0,41110.209,78009,24.03000000000003,0.058929267572173975,-0.1216935143223144,-1
2024-06-06,2024-06-12 23:59:59.999,TAO,1w,419.68,354.1,435.86,311.1,50946.189,76719,-65.81,-0.17046104348280616,0.058929267572173975,1
2024-06-13,2024-06-19 23:59:59.999,TAO,1w,354.06,299.7,356.04,237.74,49927.507,63447,-54.400000000000034,-0.16679738479524064,-0.17046104348280616,-1
2024-06-20,2024-06-26 23:59:59.999,TAO,1w,299.19,279.99,320.93,260.0,32979.704,35665,-19.70999999999998,-0.06802808607685236,-0.16679738479524064,-1
2024-06-27,2024-07-03 23:59:59.999,TAO,1w,280.09,237.05,292.72,224.78,42980.507,27511,-42.94,-0.16648279889763762,-0.06802808607685236,-1
2024-07-04,2024-07-10 23:59:59.999,TAO,1w,236.88,259.82,272.35,191.82,48375.946,32313,22.769999999999982,0.0917179942194593,-0.16648279889763762,-1
2024-07-11,2024-07-17 23:59:59.999,TAO,1w,259.66,319.29,330.88,236.31,41452.581,33246,59.47000000000003,0.20611069715347594,0.0917179942194593,1
2024-07-18,2024-07-24 23:59:59.999,TAO,1w,319.29,333.56,360.26,303.57,55383.262,61257,14.269999999999982,0.043722978497721846,0.20611069715347594,1
2024-07-25,2024-07-31 23:59:59.999,TAO,1w,333.56,302.09,366.59,300.22,8849.45,13249,-31.470000000000027,-0.0990977729960087,0.043722978497721846,1
2024-08-01,2024-08-07 23:59:59.999,TAO,1w,302.06,247.49,304.98,163.71,112966.056,66971,-54.599999999999966,-0.19935480907070025,-0.0990977729960087,-1
2024-08-08,2024-08-14 23:59:59.999,TAO,1w,247.73,275.52,320.49,243.47,36945.679,37555,28.029999999999973,0.1072900440872902,-0.19935480907070025,-1
2024-08-15,2024-08-21 23:59:59.999,TAO,1w,275.52,296.97,313.84,255.39,26970.427,28951,21.450000000000045,0.0749709023604598,0.1072900440872902,1
2024-08-22,2024-08-28 23:59:59.999,TAO,1w,297.34,297.96,365.0,290.58,74570.866,48377,0.9899999999999523,0.0033281257082496156,0.0749709023604598,1
2024-08-29,2024-09-04 23:59:59.999,TAO,1w,298.25,255.29,311.3,238.14,48508.586,31874,-42.66999999999999,-0.15455909543217336,0.0033281257082496156,1
2024-09-05,2024-09-11 23:59:59.999,TAO,1w,255.22,284.07,294.4,220.39,46568.926,29699,28.78,0.10682053278761626,-0.15455909543217336,-1
2024-09-12,2024-09-18 23:59:59.999,TAO,1w,284.51,337.12,340.18,280.25,76687.563,46090,53.05000000000001,0.17121826339236046,0.10682053278761626,1
2024-09-19,2024-09-25 23:59:59.999,TAO,1w,337.38,552.82,599.27,335.53,150555.258,96514,215.70000000000005,0.4945935011931932,0.17121826339236046,1
2024-09-26,2024-10-02 23:59:59.999,TAO,1w,552.84,519.77,619.62,494.78,208168.53,149061,-33.05000000000007,-0.06164604521280742,0.4945935011931932,1
2024-10-03,2024-10-09 23:59:59.999,TAO,1w,519.73,569.73,677.68,471.92,163630.096,119163,49.960000000000036,0.09177615835799871,-0.06164604521280742,-1
2024-10-10,2024-10-16 23:59:59.999,TAO,1w,570.19,580.34,682.31,536.8,105231.948,85083,10.610000000000014,0.01845157429060887,0.09177615835799871,1
2024-10-17,2024-10-23 23:59:59.999,TAO,1w,580.2,528.07,610.92,507.19,94579.042,76161,-52.26999999999998,-0.09438528800842405,0.01845157429060887,1
2024-10-24,2024-10-30 23:59:59.999,TAO,1w,528.1,494.26,561.57,460.0,81664.637,66290,-33.81000000000006,-0.06616715615462843,-0.09438528800842405,-1
2024-10-31,2024-11-06 23:59:59.999,TAO,1w,494.87,528.54,539.78,403.77,69429.071,52765,34.27999999999997,0.06705679382793935,-0.06616715615462843,-1
2024-11-07,2024-11-13 23:59:59.999,TAO,1w,528.53,538.89,625.0,485.55,172671.068,131767,10.350000000000023,0.01939298009909471,0.06705679382793935,1
2024-11-14,2024-11-20 23:59:59.999,TAO,1w,538.36,481.67,560.73,450.22,88434.271,63741,-57.21999999999997,-0.11225223617915218,0.01939298009909471,1
2024-11-21,2024-11-27 23:59:59.999,TAO,1w,482.35,561.45,594.55,461.96,177514.706,118901,79.78000000000003,0.1532634907488459,-0.11225223617915218,-1
2024-11-28,2024-12-04 23:59:59.999,TAO,1w,561.46,656.91,728.2,550.85,171850.805,136937,95.45999999999992,0.1570242997812125,0.1532634907488459,1
2024-12-05,2024-12-11 23:59:59.999,TAO,1w,657.39,601.41,752.67,450.01,246243.072,144964,-55.5,-0.08827012451526586,0.1570242997812125,1
2024-12-12,2024-12-18 23:59:59.999,TAO,1w,601.68,499.97,645.88,484.0,112819.549,78092,-101.43999999999994,-0.1847288016623747,-0.08827012451526586,-1
2024-12-19,2024-12-25 23:59:59.999,TAO,1w,499.35,499.91,521.44,400.0,132523.907,101460,-0.060000000000002274,-0.0001200144018722707,-0.1847288016623747,-1
2024-12-26,2025-01-01 23:59:59.999,TAO,1w,499.6,489.25,505.35,433.51,43772.258,36055,-10.660000000000025,-0.02155447594406197,-0.0001200144018722707,-1
2025-01-02,2025-01-08 23:59:59.999,TAO,1w,489.81,467.38,589.08,439.0,96008.35,74515,-21.870000000000005,-0.04573097498852524,-0.02155447594406197,-1
2025-01-09,2025-01-15 23:59:59.999,TAO,1w,467.2,458.96,475.8,385.08,96055.166,60791,-8.420000000000016,-0.018179570994044755,-0.04573097498852524,-1
2025-01-16,2025-01-22 23:59:59.999,TAO,1w,459.33,399.87,495.11,386.95,166617.749,81348,-59.089999999999975,-0.1378235660095791,-0.018179570994044755,-1
2025-01-23,2025-01-29 23:59:59.999,TAO,1w,398.94,449.12,497.4,363.31,243342.383,128528,49.25,0.11615061832953594,-0.1378235660095791,-1
2025-01-30,2025-02-05 23:59:59.999,TAO,1w,449.59,350.32,479.34,222.49,312201.185,141767,-98.80000000000001,-0.2484430901204295,0.11615061832953594,1
2025-02-06,2025-02-12 23:59:59.999,TAO,1w,350.29,402.13,437.24,307.57,162506.029,86463,51.81,0.13792839693341555,-0.2484430901204295,-1
2025-02-13,2025-02-19 23:59:59.999,TAO,1w,402.33,420.01,432.0,345.99,135493.495,83493,17.879999999999995,0.043503101091222775,0.13792839693341555,1
2025-02-20,2025-02-26 23:59:59.999,TAO,1w,419.84,351.79,495.88,337.04,262144.178,141213,-68.21999999999997,-0.17724411385994288,0.043503101091222775,1
2025-02-27,2025-03-05 23:59:59.999,TAO,1w,351.53,299.83,370.23,257.86,205700.568,90766,-51.960000000000036,-0.15981875928453976,-0.17724411385994288,-1
2025-03-06,2025-03-12 23:59:59.999,TAO,1w,300.23,259.33,311.42,211.8,184489.319,67804,-40.5,-0.14511426541606046,-0.15981875928453976,-1
2025-03-13,2025-03-19 23:59:59.999,TAO,1w,259.81,262.18,267.01,235.03,87492.559,39497,2.8500000000000227,0.010929908812424954,-0.14511426541606046,-1
2025-03-20,2025-03-26 23:59:59.999,TAO,1w,262.36,260.72,281.0,242.21,123089.183,40601,-1.4599999999999795,-0.005584256240356945,0.010929908812424954,1
2025-03-27,2025-04-02 23:59:59.999,TAO,1w,260.86,211.71,280.1,208.49,178244.354,59882,-49.01000000000002,-0.20822962084845761,-0.005584256240356945,-1
2025-04-03,2025-04-09 23:59:59.999,TAO,1w,211.72,230.15,233.6,167.68,216493.688,83955,18.439999999999998,0.08351385658240194,-0.20822962084845761,-1
2025-04-10,2025-04-16 23:59:59.999,TAO,1w,230.09,230.24,262.88,222.61,143268.152,61595,0.09000000000000341,0.00039097287580735097,0.08351385658240194,1
2025-04-17,2025-04-23 23:59:59.999,TAO,1w,305.7,336.56,350.42,295.17,205119.403,90329,106.32,0.37965419614320767,0.00039097287580735097,1
2025-04-24,2025-04-30 23:59:59.999,TAO,1w,335.84,354.8,388.7,325.59,304632.27,185378,18.24000000000001,0.0527778111531589,0.37965419614320767,1
2025-05-01,2025-05-07 23:59:59.999,TAO,1w,355.55,367.83,386.53,339.27,163648.402,88794,13.029999999999973,0.0360666244769809,0.0527778111531589,1
2025-05-08,2025-05-14 23:59:59.999,TAO,1w,367.73,455.55,494.34,363.68,203863.941,117232,87.72000000000003,0.21388460524746228,0.0360666244769809,1
2025-05-15,2025-05-21 23:59:59.999,TAO,1w,455.77,449.91,466.41,385.59,131241.872,94390,-5.639999999999986,-0.012457917398169071,0.21388460524746228,1
2025-05-22,2025-05-28 23:59:59.999,TAO,1w,449.91,434.97,478.29,407.88,141829.107,90689,-14.939999999999998,-0.03377049956848631,-0.012457917398169071,-1
2025-05-29,2025-06-04 23:59:59.999,TAO,1w,435.25,381.11,443.15,364.7,157090.108,105413,-53.860000000000014,-0.1321890158255909,-0.03377049956848631,-1
2025-06-05,2025-06-11 23:59:59.999,TAO,1w,381.12,407.86,449.21,347.35,160544.292,106550,26.75,0.06783593089657985,-0.1321890158255909,-1
2025-06-12,2025-06-18 23:59:59.999,TAO,1w,407.85,362.29,408.54,333.77,138225.515,96938,-45.56999999999999,-0.11847898217937072,0.06783593089657985,1
2025-06-19,2025-06-25 23:59:59.999,TAO,1w,362.5,323.0,367.86,287.24,127645.303,74445,-39.29000000000002,-0.11479267286217376,-0.11847898217937072,-1
2025-06-26,2025-07-02 23:59:59.999,TAO,1w,323.04,334.78,351.02,314.1,86532.807,51249,11.779999999999973,0.035821276451817284,-0.11479267286217376,-1
2025-07-03,2025-07-09 23:59:59.999,TAO,1w,334.87,347.46,351.45,315.02,97807.425,55699,12.680000000000007,0.03717595079127955,0.035821276451817284,1
2025-07-10,2025-07-16 23:59:59.999,TAO,1w,348.06,432.25,447.04,346.05,154105.412,100877,84.79000000000002,0.21835457409764641,0.03717595079127955,1
2025-07-17,2025-07-23 23:59:59.999,TAO,1w,432.07,425.32,461.95,397.8,178903.04,114872,-6.930000000000007,-0.01616229778051447,0.21835457409764641,1
2025-07-24,2025-07-30 23:59:59.999,TAO,1w,424.41,372.75,439.67,356.69,124314.377,82614,-52.56999999999999,-0.13193387313803762,-0.01616229778051447,-1
2025-07-31,2025-08-06 23:59:59.999,TAO,1w,372.97,346.19,382.67,327.36,97338.174,65260,-26.560000000000002,-0.07392019635747019,-0.13193387313803762,-1
2025-08-07,2025-08-13 23:59:59.999,TAO,1w,346.18,390.5,404.85,341.16,137552.739,80640,44.31,0.12044021199236307,-0.07392019635747019,-1
2025-08-14,2025-08-20 23:59:59.999,TAO,1w,390.54,353.14,402.5,337.56,75462.302,63383,-37.360000000000014,-0.1005633904050885,0.12044021199236307,1
2025-08-21,2025-08-27 23:59:59.999,TAO,1w,353.27,330.55,378.3,316.42,73232.023,66114,-22.589999999999975,-0.066106645095065,-0.1005633904050885,-1
2025-08-28,2025-09-03 23:59:59.999,TAO,1w,330.75,324.44,338.62,301.55,69873.679,54419,-6.110000000000014,-0.018657314577443164,-0.066106645095065,-1
2025-09-04,2025-09-10 23:59:59.999,TAO,1w,324.71,349.03,349.85,310.8,114303.396,70745,24.589999999999975,0.07305725919133065,-0.018657314577443164,-1
2025-09-11,2025-09-17 23:59:59.999,TAO,1w,349.02,359.14,370.05,335.67,103647.023,73735,10.110000000000014,0.02855440622027698,0.07305725919133065,1
